Rank,Mark,Competitor,Date of birth,Nationality,Position in the competition,dummy,Place of the competition,Date,Result score,athlete_href
504,1:49.24,João PEIXOTO,15 SEP 2001,POR,2,,Braga (POR),08 AUG 2020,1048,/athletes/athlete=14780011
505,1:49.25,Eduardo ROMERO,27 JAN 1999,ESP,2h1,,"Estadio Vallehermoso, Madrid (ESP)",12 SEP 2020,1047,/athletes/athlete=14691566
505,1:49.25,Lachlan RAPER,14 AUG 1999,AUS,2f1,,"The Crest Athletics Centre, Sydney (AUS)",19 DEC 2020,1047,/athletes/athlete=14708021
507,1:49.26,Hakim SALEH,21 MAY 1996,CZE,3f1,,"Stadin Míru, Tábor (CZE)",14 JUL 2020,1047,/athletes/athlete=14627316
507,1:49.26,Oleh MYRONETS,29 MAY 1998,UKR,2,,"Avangard Stadium, Lutsk (UKR)",30 AUG 2020,1047,/athletes/athlete=14741868
509,1:49.27,Mafori Ryan MPHAHLELE,20 JUN 1998,RSA,1f2,,"UJ Soweto Campus, Johannesburg (RSA)",14 MAR 2020,1047,/athletes/athlete=14748308
509,1:49.27,Marc REUTHER,23 JUN 1996,GER,1h2,,"Eintracht-Stadion, Braunschweig (GER)",08 AUG 2020,1047,/athletes/athlete=14534930
511,1:49.28,Dylan STENSON,30 SEP 1988,AUS,1f1,,"SA Athletic Stadium, Adelaide (AUS)",18 JAN 2020,1047,/athletes/athlete=14635338
511,1:49.28,Matthew RAMSDEN,23 JUL 1997,AUS,1f1,,"WA Sports Centre, Perth (AUS)",07 MAR 2020,1047,/athletes/athlete=14576384
511,1:49.28,Gabriele AQUARO,02 APR 1997,ITA,1f3,,"Campo XXV Aprile, Milano (ITA)",26 JUN 2020,1047,/athletes/athlete=14644204
511,1:49.28,Illia KARNAVUKHAU,03 JUL 1999,BLR,1f2,,"Regional Sport Complex, Brest (BLR)",17 JUL 2020,1047,/athletes/athlete=14795759
511,1:49.28,Riku SAKAMOTO,19 MAY 1999,JPN,3h3,,"Denka Big Swan Stadium, Niigata (JPN)",02 OCT 2020,1047,/athletes/athlete=14813833
516,1:49.29,Joonas RINNE,20 MAY 1995,FIN,4f1,,"Leppävaaran Stadion, Espoo (FIN)",05 AUG 2020,1046,/athletes/athlete=14482918
516,1:49.29,Josh KERR,08 OCT 1997,GBR,2,,"Portland, OR (USA)",08 AUG 2020,1046,/athletes/athlete=14533464
516,1:49.29,Máté EGYÜD,23 FEB 1996,HUN,3,,"Lantos Mihály Sportközpont, Budapest (HUN)",09 AUG 2020,1046,/athletes/athlete=14508170
516,1:49.29,James WEST,30 JAN 1996,GBR,2f1,,"Lee Valley Athletics Centre, London (GBR)",29 AUG 2020,1046,/athletes/athlete=14525705
516,1:49.29,Clement HOUCKE,11 MAY 1996,FRA,1f2,,"Stadium Municipal, Albi (FRA)",13 SEP 2020,1046,/athletes/athlete=14594453
521,1:49.30,Thomas Arne ROTH,11 FEB 1991,NOR,1f5,,"Bislett Stadion, Oslo (NOR)",08 JUL 2020,1046,/athletes/athlete=14364669
521,1:49.30,Jakub AUGUSTYNIAK,04 SEP 2001,POL,7f2,,"Forest Stadium, Sopot (POL)",13 AUG 2020,1046,/athletes/athlete=14756199
521,1:49.30,Jakub SZKUDLAREK,17 JAN 2001,POL,8f2,,"Forest Stadium, Sopot (POL)",13 AUG 2020,1046,/athletes/athlete=14780795
521,1:49.30,Bogdan MAZNIY,26 OCT 1999,RUS,3f2,,"Stadium Desna, Bryansk (RUS)",30 AUG 2020,1046,/athletes/athlete=14806247
525,1:49.31,Jeffrey RISELEY,11 NOV 1986,AUS,6f2,,"Lakeside Stadium, Melbourne (AUS)",06 FEB 2020,1046,/athletes/athlete=14178886
525,1:49.31,Vladislav FINCHUK,06 DEC 1998,UKR,3,,"Avangard Stadium, Lutsk (UKR)",30 AUG 2020,1046,/athletes/athlete=14709207
525,1:49.31,Rob NAPOLITANO,03 NOV 1994,PUR,4,,"Newton North HS, Newton, MA (USA)",07 SEP 2020,1046,/athletes/athlete=14476687
528,1:49.32,Felix FRANCOIS,08 NOV 1990,SWE,1,,"Slottsskogsvallen, Göteborg (SWE)",06 AUG 2020,1045,/athletes/athlete=14404391
528,1:49.32,Sigurd TVEIT,16 MAR 2000,NOR,1,,"Stadion, Kristiansand (NOR)",16 AUG 2020,1045,/athletes/athlete=14800434
528,1:49.32,Hugo HOUYEZ,16 DEC 1995,FRA,1f1,,"Stade Léo Lagrange, Lens (FRA)",22 AUG 2020,1045,/athletes/athlete=14643743
528,1:49.32,Márton PÁPAI,10 APR 1995,HUN,3f1,,"Bregyó Athletic Center, Székesfehérvár (HUN)",06 SEP 2020,1045,/athletes/athlete=14395064
532,1:49.33,Harry MAY,06 SEP 1992,AUS,7f2,,"Lakeside Stadium, Melbourne (AUS)",06 FEB 2020,1045,/athletes/athlete=14463265
532,1:49.33,Jeffrey RISELEY,11 NOV 1986,AUS,4f1,,"Rawlinson Track – Melbourne Uni, Melbourne (AUS)",18 FEB 2020,1045,/athletes/athlete=14178886
532,1:49.33,Álvaro DE ARRIBA,02 JUN 1994,ESP,1h3,,"Estadio Vallehermoso, Madrid (ESP)",12 SEP 2020,1045,/athletes/athlete=14463575
535,1:49.34,Matheus Americo MEDEIROS PESSOA,09 APR 1996,BRA,3,,"Centro de Atletismo Professor Oswaldo Terra, Sao Bernardo do Campo (BRA)",07 MAR 2020,1045,/athletes/athlete=14583976
535,1:49.34,Gabriele AQUARO,02 APR 1997,ITA,2f1,,"Stadio Comunale, Bellinzona (SUI)",01 JUL 2020,1045,/athletes/athlete=14644204
535,1:49.34,Tamás KAZI,16 MAY 1985,HUN,2f1,,"Ikarus BSE Sporttelep, Budapest (HUN)",01 AUG 2020,1045,/athletes/athlete=14196588
535,1:49.34,Pol MOYA,09 DEC 1996,AND,7f1,,Castellón (ESP),24 AUG 2020,1045,/athletes/athlete=14652562
535,1:49.34,Saúl MARTÍNEZ,12 FEB 1994,ESP,5,,"Estadio Vallehermoso, Madrid (ESP)",13 SEP 2020,1045,/athletes/athlete=14477370
540,1:49.35,Brandon MILLER,2002,USA,1,,"Hope Academy, Chicago, IL (USA)",27 JUL 2020,1045,/athletes/athlete=14716761
540,1:49.35,Jacob DUMFORD,,USA,5,,"Alexandria, VA (USA)",01 AUG 2020,1045,/athletes/athlete=14490988
540,1:49.35,Pablo SÁNCHEZ-VALLADARES,12 NOV 1997,ESP,3f1,,Ciudad Real (ESP),19 SEP 2020,1045,/athletes/athlete=14645066
540,1:49.35,Kenta UMETANI,07 AUG 1996,JPN,1f4,,"Denka Big Swan Stadium, Niigata (JPN)",03 NOV 2020,1045,/athletes/athlete=14703163
544,1:49.36,Oskar SCHWARZER,10 JUN 1999,GER,5f5,,"TSV Stadion, Pfungstadt (GER)",02 SEP 2020,1044,/athletes/athlete=14684802
544,1:49.36,Dániel HULLER,10 MAY 2001,HUN,2f2,,"Vasas Pasaréti Sportcentrum, Budapest (HUN)",27 SEP 2020,1044,/athletes/athlete=14681591
544,1:49.36,Italo ARAUJO,09 MAR 1998,BRA,1,,Bragança Paulista (BRA),18 NOV 2020,1044,/athletes/athlete=14663372
547,1:49.37,Corentin LE CLEZIO,24 SEP 1999,FRA,7f1,,"Boudewijnstadion, Bruxelles (BEL)",09 AUG 2020,1044,/athletes/athlete=14842576
547,1:49.37,Alexander LUNDSKOG,22 JUN 1996,SWE,4,,"Friidrottsarena, Uppsala (SWE)",16 AUG 2020,1044,/athletes/athlete=14511630
547,1:49.37,Nikolay VERBITSKIY,16 DEC 1995,RUS,3,,Smolensk (RUS),22 AUG 2020,1044,/athletes/athlete=14627890
547,1:49.37,Francesco CONTI,15 MAR 1995,ITA,3h1,,"Stadio Colbachini, Padova (ITA)",28 AUG 2020,1044,/athletes/athlete=14473097
547,1:49.37,Tiarnan CRORKEN,13 JUN 1999,GBR,4,,"Sportcity Regional Arena, Manchester (GBR)",05 SEP 2020,1044,/athletes/athlete=14714944
547,1:49.37,Marius PROBST,20 AUG 1995,GER,5,,"Paul-Greifzu-Stadion, Dessau (GER)",08 SEP 2020,1044,/athletes/athlete=14480195
547,1:49.37,Danil PEREMETOV,18 MAR 1995,RUS,2h3,,"Yelena Yelesina Stadium, Chelyabinsk (RUS)",08 SEP 2020,1044,/athletes/athlete=14527105
547,1:49.37,Roman TROTSENKO,09 MAY 1992,RUS,3h3,,"Yelena Yelesina Stadium, Chelyabinsk (RUS)",08 SEP 2020,1044,/athletes/athlete=14575557
547,1:49.37,Julian RANC,14 SEP 1996,FRA,2h3,,"Stadium Municipal, Albi (FRA)",12 SEP 2020,1044,/athletes/athlete=14590172
556,1:49.38,Jaap Gerben VELLINGA,28 JUL 1994,NED,3,,"Sportcentrum Papendal, Arnhem (NED)",18 JUL 2020,1044,/athletes/athlete=14475518
556,1:49.38,Tony VAN DIEPEN,17 APR 1996,NED,2f1,,"Stadion Rote Erde, Dortmund (GER)",15 AUG 2020,1044,/athletes/athlete=14534783
556,1:49.38,Aurele VANDEPUTTE,14 MAY 1995,BEL,1,,Huizingen (BEL),29 AUG 2020,1044,/athletes/athlete=14527611
556,1:49.38,Bram BUIGEL,12 MAY 1995,NED,4f2,,"Stadion De Veen, Heusden-Zolder (BEL)",06 SEP 2020,1044,/athletes/athlete=14536029
556,1:49.38,Romain SEVERIN,01 MAY 2001,FRA,1f1,,"Stade Régional G. Hebert, Reims (FRA)",08 SEP 2020,1044,/athletes/athlete=14794612
561,1:49.39,Dmytro BIKULOV,11 JUL 1990,UKR,2f4,,"Avangard Stadium, Lutsk (UKR)",16 AUG 2020,1043,/athletes/athlete=14455915
561,1:49.39,Dmytro BIKULOV,11 JUL 1990,UKR,4,,"Avangard Stadium, Lutsk (UKR)",30 AUG 2020,1043,/athletes/athlete=14455915
561,1:49.39,Hugo ARLABOSSE,10 MAR 1999,FRA,4f1,,"Stadium Municipal, Albi (FRA)",13 SEP 2020,1043,/athletes/athlete=14755659
564,1:49.40,Sigurd TVEIT,16 MAR 2000,NOR,1f8,,"Bislett Stadion, Oslo (NOR)",14 JUN 2020,1043,/athletes/athlete=14800434
564,1:49.40,Joakim ANDERSSON,19 OCT 1992,SWE,1f1,,"Sollentunavallen, Sollentuna (SWE)",28 JUN 2020,1043,/athletes/athlete=14480071
564,1:49.40,Andreas KRAMER,13 APR 1997,SWE,1h1,,"Friidrottsarena, Uppsala (SWE)",15 AUG 2020,1043,/athletes/athlete=14538207
567,1:49.41,Kevin STADLER,03 APR 1993,GER,6f8,,"TSV Stadion, Pfungstadt (GER)",01 AUG 2020,1043,/athletes/athlete=14390277
567,1:49.41,Julius LAWNIK,27 DEC 1995,GER,5,,"Eintracht-Stadion, Braunschweig (GER)",09 AUG 2020,1043,/athletes/athlete=14456766
567,1:49.41,Benjamin RUBIO,15 APR 1991,FRA,1f1,,"Stade d'Athlétisme Hautepierre, Strasbourg (FRA)",26 SEP 2020,1043,/athletes/athlete=14450475
570,1:49.42,John LEWIS,18 JAN 1996,USA,3,,"Alexandria, VA (USA)",09 JUL 2020,1043,/athletes/athlete=14537779
570,1:49.42,Gergő KISS,24 JUL 1995,HUN,3f1,,"Ikarus BSE Sporttelep, Budapest (HUN)",01 AUG 2020,1043,/athletes/athlete=14392079
570,1:49.42,Hamada MOHAMED,22 OCT 1992,EGY,1,,"Olympic Sports Center, El Maadi (EGY)",10 DEC 2020,1043,/athletes/athlete=14420664
573,1:49.43,Ryohei MIKAMI,08 APR 1998,JPN,1,,"Juntendo University Stadium, Inzai (JPN)",01 AUG 2020,1042,/athletes/athlete=14901566
573,1:49.43,Jonas SCHÖPFER,30 JUN 1996,SUI,6f5,,"TSV Stadion, Pfungstadt (GER)",02 SEP 2020,1042,/athletes/athlete=14531013
573,1:49.43,Clement HOUCKE,11 MAY 1996,FRA,1f3,,"Stadion De Veen, Heusden-Zolder (BEL)",06 SEP 2020,1042,/athletes/athlete=14594453
573,1:49.43,Takero ICHINOMIYA,07 MAY 1999,JPN,1f1,,"Universiade Commemorative Stadium, Kobe (JPN)",11 OCT 2020,1042,/athletes/athlete=14766567
573,1:49.43,Guilherme ORENHAS,10 SEP 1998,BRA,4,,"COTP Stadium, São Paulo (BRA)",06 DEC 2020,1042,/athletes/athlete=14717831
578,1:49.44,Joonas RINNE,20 MAY 1995,FIN,1,,"Stadion, Lahti (FIN)",07 JUN 2020,1042,/athletes/athlete=14482918
578,1:49.44,Rocco ZAMAN-BROWNE,04 DEC 2000,GBR,2f1,,"Mary Peters Track, Belfast (GBR)",13 AUG 2020,1042,/athletes/athlete=14807441
580,1:49.45,Renaud ROSIERE,27 SEP 1993,FRA,1f1,,"Stade Municipal Robert Sayer, Capavenir Vosges (FRA)",12 JUL 2020,1042,/athletes/athlete=14419337
580,1:49.45,Fanxu MENG,07 FEB 1998,CHN,1f1,,Dalian (CHN),15 JUL 2020,1042,/athletes/athlete=14702426
580,1:49.45,David DE BLAS,16 JUL 1997,ESP,2h1,,"Estadio Vallehermoso, Madrid (ESP)",01 SEP 2020,1042,/athletes/athlete=14635257
583,1:49.46,Kimar FARQUHARSON,20 MAY 2001,JAM,1,,"National Stadium, Kingston (JAM)",08 FEB 2020,1041,/athletes/athlete=14742033
584,1:49.47,Nikolay VERBITSKIY,16 DEC 1995,RUS,1h2,,"Yelena Yelesina Stadium, Chelyabinsk (RUS)",08 SEP 2020,1041,/athletes/athlete=14627890
585,1:49.48,Boitumelo MASILO,05 AUG 1995,BOT,1f2,,"Francistown Stadion, Francistown (BOT)",15 FEB 2020,1041,/athletes/athlete=14644836
585,1:49.48,Saúl MARTÍNEZ,12 FEB 1994,ESP,2h3,,"Estadio Vallehermoso, Madrid (ESP)",12 SEP 2020,1041,/athletes/athlete=14477370
585,1:49.48,Kenta UMETANI,07 AUG 1996,JPN,1f3,,"Yanmar Stadium Nagai, Osaka (JPN)",24 OCT 2020,1041,/athletes/athlete=14703163
588,1:49.49,Fabien LOIRAT,11 AUG 1996,FRA,1f1,,"Stade Bachelard, Grenoble (FRA)",19 AUG 2020,1041,/athletes/athlete=14654707
588,1:49.49,Daniel GADOMSKI,24 OCT 1998,POL,3h3,,"Stadion OSiR, Wloclawek (POL)",29 AUG 2020,1041,/athletes/athlete=14685950
588,1:49.49,Igor RASHCHUPKIN,03 SEP 1997,RUS,2h2,,"Yelena Yelesina Stadium, Chelyabinsk (RUS)",08 SEP 2020,1041,/athletes/athlete=14806248
591,1:49.50,Yosef GEMECHU,19 MAR 1998,AUS,2f1,,"AIS Athletics Track, Canberra (AUS)",24 JAN 2020,1040,/athletes/athlete=14742393
591,1:49.50,Stefano MIGLIORATI,08 DEC 1994,ITA,3,,"Campo Scuola G. Perraro, Vicenza (ITA)",11 JUL 2020,1040,/athletes/athlete=14521212
591,1:49.50,James GILREATH,07 AUG 1989,USA,1f2,,"Lipscomb Academy, Nashville, TN (USA)",15 AUG 2020,1040,/athletes/athlete=14238825
591,1:49.50,Máté EGYÜD,23 FEB 1996,HUN,4f1,,"Bregyó Athletic Center, Székesfehérvár (HUN)",06 SEP 2020,1040,/athletes/athlete=14508170
591,1:49.50,Ruben MONREAL,08 FEB 1998,ESP,3h3,,"Estadio Vallehermoso, Madrid (ESP)",12 SEP 2020,1040,/athletes/athlete=14635460
596,1:49.51,Guilherme ORENHAS,10 SEP 1998,BRA,2,,"Centro de Atletismo Professor Oswaldo Terra, Sao Bernardo do Campo (BRA)",29 FEB 2020,1040,/athletes/athlete=14717831
596,1:49.51,Tomáš VYSTRK,21 SEP 1993,CZE,1,,"Tyršův stadion, Opava (CZE)",16 JUN 2020,1040,/athletes/athlete=14382616
598,1:49.52,Juwan BLIGNAUT,12 SEP 2002,RSA,3,,"Bestmed Tuks Stadium, Pretoria (RSA)",13 MAR 2020,1040,/athletes/athlete=14838358
598,1:49.52,Tim ASSMANN,03 NOV 2000,GER,1f1,,"Bungertstadion, Rehlingen (GER)",15 AUG 2020,1040,/athletes/athlete=14756608
598,1:49.52,Joaquim JÄGER,21 MAY 1996,SUI,2f1,,"Stade Bachelard, Grenoble (FRA)",19 AUG 2020,1040,/athletes/athlete=14527441
,,,,,,,,,,
598,1:49.52,Daniel ROWDEN,09 SEP 1997,GBR,1h1,,"Sportcity Regional Arena, Manchester (GBR)",04 SEP 2020,1040,/athletes/athlete=14585368
598,1:49.52,Mohamed-aziz BEN-BRAHIM,27 AUG 1997,FRA,2f1,,"Stade Régional G. Hebert, Reims (FRA)",08 SEP 2020,1040,/athletes/athlete=14643212
598,1:49.52,Edose IBADIN,27 FEB 1993,NGR,3,,"Atlanta International School, Atlanta, GA (USA)",12 SEP 2020,1040,/athletes/athlete=14463823
604,1:49.53,Jack LUNN,16 OCT 2001,AUS,2f1,,"Hagenauer Reserve, Box Hill, Melbourne (AUS)",23 JAN 2020,1039,/athletes/athlete=14861747
604,1:49.53,Matthew SCOTT,02 MAY 1997,AUS,2f10,,"Hagenauer Reserve, Box Hill, Melbourne (AUS)",30 JAN 2020,1039,/athletes/australia/matthew-scott-014575412
604,1:49.53,Anicet KOZAR,08 OCT 2001,FRA,2f1,,"Stade d'Athlétisme Hautepierre, Strasbourg (FRA)",26 SEP 2020,1039,/athletes/athlete=14847186
604,1:49.53,Daiki NEMOTO,18 OCT 1999,JPN,7,,"Denka Big Swan Stadium, Niigata (JPN)",03 OCT 2020,1039,/athletes/athlete=14813831
608,1:49.54,Tshepo TSHITE,15 JAN 1997,RSA,1h2,,"Bestmed Tuks Stadium, Pretoria (RSA)",13 MAR 2020,1039,/athletes/athlete=14784315
608,1:49.54,Benediktas MICKUS,26 MAR 1997,LTU,1f1,,"Ogres Stadions, Ogre (LAT)",15 AUG 2020,1039,/athletes/athlete=14567452
610,1:49.55,Jan VUKOVIČ,14 JUN 2000,SLO,1f2,,"Štadion Kladivar, Celje (SLO)",26 JUL 2020,1039,/athletes/athlete=14666849
610,1:49.55,Romain DEBES,15 JUL 1998,FRA,3h3,,"Stadium Municipal, Albi (FRA)",12 SEP 2020,1039,/athletes/athlete=14643214
610,1:49.55,Thiago ANDRÉ,04 AUG 1995,BRA,1h1,,"COTP Stadium, São Paulo (BRA)",10 DEC 2020,1039,/athletes/athlete=14481680
613,1:49.56,Kristian Uldbjerg HANSEN,15 AUG 1996,DEN,1f1,,Aalborg (DEN),20 JUN 2020,1039,/athletes/athlete=14541538
613,1:49.56,Corentin LE CLEZIO,24 SEP 1999,FRA,1f1,,"Stade des Maradas, Cergy-Pontoise (FRA)",15 AUG 2020,1039,/athletes/athlete=14842576
613,1:49.56,Markus EINAN,04 FEB 1997,NOR,4,,"Fana Stadion, Bergen (NOR)",20 SEP 2020,1039,/athletes/athlete=14586265
616,1:49.57,David DE BLAS,16 JUL 1997,ESP,3h1,,"Estadio Vallehermoso, Madrid (ESP)",12 SEP 2020,1038,/athletes/athlete=14635257
616,1:49.57,Javier MIRON,13 DEC 1999,ESP,4f1,,Ciudad Real (ESP),19 SEP 2020,1038,/athletes/athlete=14683846
618,1:49.58,Tim ASSMANN,03 NOV 2000,GER,2f1,,"Herbert Winter Stadion, Winnenden (GER)",18 JUL 2020,1038,/athletes/athlete=14756608
618,1:49.58,Siarhei KARPAU,07 NOV 1994,BLR,2f3,,"Dinamo National Olympic Stadium, Minsk (BLR)",02 AUG 2020,1038,/athletes/athlete=14514395
618,1:49.58,Romain DEBES,15 JUL 1998,FRA,1f3,,"Stade Raymond Troussier, Decines (FRA)",29 AUG 2020,1038,/athletes/athlete=14643214
621,1:49.60,Corentin LE CLEZIO,24 SEP 1999,FRA,1f5,,"Stade R. Bobin, Bondoufle (FRA)",02 AUG 2020,1037,/athletes/athlete=14842576
621,1:49.60,Christoph KESSLER,28 APR 1995,GER,2h2,,"Eintracht-Stadion, Braunschweig (GER)",08 AUG 2020,1037,/athletes/athlete=14629730
621,1:49.60,Joao BUSSOTTI NEVES,10 MAY 1993,ITA,1h2,,"Stadio Colbachini, Padova (ITA)",28 AUG 2020,1037,/athletes/athlete=14381280
621,1:49.60,Daniel GADOMSKI,24 OCT 1998,POL,4,,"Stadion OSiR, Wloclawek (POL)",30 AUG 2020,1037,/athletes/athlete=14685950
621,1:49.60,Sacha CULTRU,05 JAN 1999,FRA,2f3,,"Stadion De Veen, Heusden-Zolder (BEL)",06 SEP 2020,1037,/athletes/athlete=14752539
621,1:49.60,Oleh MYRONETS,29 MAY 1998,UKR,1f1,,"Cluj Arena, Cluj-Napoca (ROU)",20 SEP 2020,1037,/athletes/athlete=14741868
627,1:49.61,Viktor GURZHIY,14 FEB 1994,RUS,2h4,,"Yelena Yelesina Stadium, Chelyabinsk (RUS)",08 SEP 2020,1037,/athletes/athlete=14591751
628,1:49.62,Salim KEDDAR,23 NOV 1993,ALG,2f1,,"Stade des Maradas, Cergy-Pontoise (FRA)",15 AUG 2020,1037,/athletes/athlete=14557618
628,1:49.62,Abubakar ABDULLAHI,04 FEB 1999,SWE,5,,"Friidrottsarena, Uppsala (SWE)",16 AUG 2020,1037,/athletes/athlete=14852933
628,1:49.62,Italo ARAUJO,09 MAR 1998,BRA,2h1,,"COTP Stadium, São Paulo (BRA)",10 DEC 2020,1037,/athletes/athlete=14663372
631,1:49.63,Siarhei KARPAU,07 NOV 1994,BLR,2f2,,"Regional Sport Complex, Brest (BLR)",17 JUL 2020,1037,/athletes/athlete=14514395
631,1:49.63,Anton PERSSON,02 FEB 1996,SWE,6,,"Friidrottsarena, Uppsala (SWE)",16 AUG 2020,1037,/athletes/athlete=14532545
631,1:49.63,Drew WINDLE,22 JUL 1992,USA,2f1,,"Newberg, OR (USA)",21 AUG 2020,1037,/athletes/athlete=14483584
631,1:49.63,James GILREATH,07 AUG 1989,USA,6f2,,"Christian Brothers HS, Memphis, TN (USA)",22 AUG 2020,1037,/athletes/athlete=14238825
635,1:49.64,Drew WINDLE,22 JUL 1992,USA,2,,"Newberg, OR (USA)",31 JUL 2020,1036,/athletes/athlete=14483584
635,1:49.64,José Carlos PINTO,03 MAY 1997,POR,3,,"Estadio Universitario, Lisboa (POR)",08 AUG 2020,1036,/athletes/athlete=14685821
635,1:49.64,Sho KAWAMOTO,01 MAR 1993,JPN,4,,"National Stadium, Tokyo (JPN)",23 AUG 2020,1036,/athletes/athlete=14388853
635,1:49.64,Hiroki MINAMOTO,24 NOV 1999,JPN,6,,"Denka Big Swan Stadium, Niigata (JPN)",13 SEP 2020,1036,/athletes/athlete=14857999
639,1:49.65,Shunichi TAKAGI,10 APR 1997,JPN,1,,"NIFS, Kanoya (JPN)",01 AUG 2020,1036,/athletes/athlete=14801267
639,1:49.65,Oskar SCHWARZER,10 JUN 1999,GER,6,,"Eintracht-Stadion, Braunschweig (GER)",09 AUG 2020,1036,/athletes/athlete=14684802
639,1:49.65,Kentaro USUDA,22 MAR 1999,JPN,7,,"Denka Big Swan Stadium, Niigata (JPN)",13 SEP 2020,1036,/athletes/athlete=14750941
639,1:49.65,Clement HOUCKE,11 MAY 1996,FRA,1f1,,"Stade des Maradas, Cergy-Pontoise (FRA)",19 SEP 2020,1036,/athletes/athlete=14594453
643,1:49.66,Eduardo RIBEIRO,09 JAN 2001,BRA,2,,"CNDA, Bragança Paulista (BRA)",14 MAR 2020,1036,/athletes/athlete=14816397
643,1:49.66,Hakim SALEH,21 MAY 1996,CZE,3f1,,"Mestský Stadion Sletište, Kladno (CZE)",18 JUL 2020,1036,/athletes/athlete=14627316
643,1:49.66,Italo ARAUJO,09 MAR 1998,BRA,2,,Bragança Paulista (BRA),03 OCT 2020,1036,/athletes/athlete=14663372
646,1:49.67,José Carlos PINTO,03 MAY 1997,POR,1,,"Estadio Universitario, Lisboa (POR)",20 JUN 2020,1035,/athletes/athlete=14685821
646,1:49.67,Renier DE VILLIERS,01 APR 2002,RSA,1,,"McArthur Stadium, Potchefstroom (RSA)",17 NOV 2020,1035,/athletes/athlete=14838663
648,1:49.68,Aaron BOTTERMAN,01 MAY 1994,BEL,3f1,,"Stade du Parc de la Dodaine, Nivelles (BEL)",07 AUG 2020,1035,/athletes/athlete=14451379
648,1:49.68,Henry JOHNSON,28 OCT 2002,GBR,1f2,,"Trafford Athletic Stadium, Manchester (GBR)",11 AUG 2020,1035,/athletes/athlete=14801753
648,1:49.68,Stef VANHAEREN,15 JAN 1992,BEL,3f3,,"Stadion De Veen, Heusden-Zolder (BEL)",06 SEP 2020,1035,/athletes/athlete=14376925
651,1:49.69,Joakim ANDERSSON,19 OCT 1992,SWE,2,,"Slottsskogsvallen, Göteborg (SWE)",06 AUG 2020,1035,/athletes/athlete=14480071
651,1:49.69,Ludovic LE MEUR,24 JUN 1998,FRA,2f1,,"Stade Municipal, Ambilly (FRA)",19 SEP 2020,1035,/athletes/athlete=14706271
651,1:49.69,Juan Diego CASTRO,17 MAY 2000,CRC,1,,San José (CRC),06 DEC 2020,1035,/athletes/athlete=14718761
654,1:49.70,Julio DIAZ,02 SEP 2000,MEX,1f1,,"Pista Chico Rivera, Monterrey (MEX)",16 FEB 2020,1035,/athletes/athlete=14751448
654,1:49.70,Yan SLOMA,03 MAY 1995,BLR,3f3,,"Dinamo National Olympic Stadium, Minsk (BLR)",02 AUG 2020,1035,/athletes/athlete=14480981
654,1:49.70,Joe EWING,17 FEB 2002,GBR,3f1,,"Stadion Rote Erde, Dortmund (GER)",15 AUG 2020,1035,/athletes/athlete=14827346
657,1:49.71,Pedro ACUÑA,06 SEP 1994,CUB,1,,"Estadio Panamericano, La Habana (CUB)",22 MAR 2020,1034,/athletes/athlete=14637176
657,1:49.71,Sacha CULTRU,05 JAN 1999,FRA,2f2,,"Stadium Municipal, Albi (FRA)",13 SEP 2020,1034,/athletes/athlete=14752539
657,1:49.71,Matheus ALVES DE AGUIAR,29 JUL 1999,BRA,3h2,,"COTP Stadium, São Paulo (BRA)",10 DEC 2020,1034,/athletes/athlete=14720710
660,1:49.72,Tomasz PRZYBYLAK,07 FEB 2001,POL,1f1,,"Stadion LOS, Luboń (POL)",18 JUL 2020,1034,/athletes/athlete=14801349
660,1:49.72,Yegor SHAROV,16 DEC 1988,RUS,3h4,,"Yelena Yelesina Stadium, Chelyabinsk (RUS)",08 SEP 2020,1034,/athletes/athlete=14387691
662,1:49.73,Aaron BOTTERMAN,01 MAY 1994,BEL,2,,Huizingen (BEL),29 AUG 2020,1034,/athletes/athlete=14451379
662,1:49.73,Romain DEBES,15 JUL 1998,FRA,5f1,,"Stadium Municipal, Albi (FRA)",13 SEP 2020,1034,/athletes/athlete=14643214
662,1:49.73,Jiro SHIKAI,27 JUL 1997,JPN,5h2,,"Denka Big Swan Stadium, Niigata (JPN)",02 OCT 2020,1034,/athletes/athlete=14766750
665,1:49.75,Stephen KNUCKEY,03 NOV 1994,AUS,8f2,,"Lakeside Stadium, Melbourne (AUS)",06 FEB 2020,1033,/athletes/athlete=14496839
665,1:49.75,Tumelo MACHABA,20 FEB 1995,RSA,5,,"Bestmed Tuks Stadium, Pretoria (RSA)",13 MAR 2020,1033,/athletes/athlete=14741847
667,1:49.76,Harry MAY,06 SEP 1992,AUS,3f1,,"AIS Athletics Track, Canberra (AUS)",24 JAN 2020,1033,/athletes/athlete=14463265
667,1:49.76,Ville LAMPINEN,12 DEC 1994,FIN,2f1,,"Ratina Stadium, Tampere (FIN)",22 JUL 2020,1033,/athletes/athlete=14432949
667,1:49.76,Rok MARKELJ,14 APR 2000,SLO,2f2,,"Štadion Kladivar, Celje (SLO)",26 JUL 2020,1033,/athletes/athlete=14723622
670,1:49.78,Rok MARKELJ,14 APR 2000,SLO,1,,"Športni park, Nova Gorica (SLO)",12 JUL 2020,1032,/athletes/athlete=14723622
671,1:49.79,Gergő KISS,24 JUL 1995,HUN,5f1,,"Egyetemi Stadion, Veszprém (HUN)",16 JUL 2020,1032,/athletes/athlete=14392079
